    User: glassfish
    Date: Wed 19-Feb-2014 (050) 18:53:41
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            isee3         720         1

           Start Time           Stop Time 
           2014  50  0.00000    2014 223  0.00000


 Coord/            Min/Max          Range Filter              Filter
Component   Output Markers      Minimum         Maximum      Mins/Maxes
GEO X        YES      -           -               -               -   
GEO Y        YES      -           -               -               -   
GEO Z        YES      -           -               -               -   
GEO Lat      YES      -           -               -               -   
GEO Lon      YES      -           -               -               -   


Addtnl             Min/Max          Range Filter              Filter
Options     Output Markers      Minimum         Maximum      Mins/Maxes
dEarth       YES      -           -               -               -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YY/MM/DD HH:MM
    Degrees/Hemisphere format: Decimal degrees with 1 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Kilometers with 3 place(s).

isee3
      Time                         GEO (km)                        GEO         Radius    
yy/mm/dd hh:mm        X               Y               Z         Lat   Long      (km)     

14/02/21 01:36   -28691468.000   -32017416.000    12834402.000  16.6 228.1   44866884.000
14/02/21 01:48   -30326880.000   -30470108.000    12835470.000  16.6 225.1   44865312.000
14/02/21 02:00   -31878978.000   -28839382.000    12836538.000  16.6 222.1   44863752.000
14/02/21 02:12   -33343506.000   -27129716.000    12837607.000  16.6 219.1   44862176.000
14/02/21 02:24   -34718172.000   -25343472.000    12838673.000  16.6 216.1   44860612.000
14/02/21 02:36   -35995672.000   -23490134.000    12839740.000  16.6 213.1   44859044.000
14/02/21 02:48   -37174344.000   -21572542.000    12840806.000  16.6 210.1   44857476.000
14/02/21 03:00   -38250968.000   -19595968.000    12841872.000  16.6 207.1   44855900.000
14/02/21 03:12   -39222596.000   -17565832.000    12842938.000  16.6 204.1   44854340.000
14/02/21 03:24   -40086572.000   -15487720.000    12844003.000  16.6 201.1   44852768.000
14/02/21 03:36   -40840532.000   -13367306.000    12845068.000  16.6 198.1   44851196.000
14/02/21 03:48   -41483180.000   -11207656.000    12846131.000  16.6 195.1   44849624.000
14/02/21 04:00   -42011108.000    -9020205.000    12847196.000  16.6 192.1   44848056.000
14/02/21 04:12   -42423784.000    -6808214.000    12848261.000  16.6 189.1   44846480.000
14/02/21 04:24   -42720080.000    -4577756.000    12849323.000  16.7 186.1   44844916.000
14/02/21 04:36   -42899192.000    -2334947.000    12850385.000  16.7 183.1   44843336.000
14/02/21 04:48   -42960644.000      -85940.102    12851449.000  16.7 180.1   44841764.000
14/02/21 05:00   -42904280.000     2163099.500    12852511.000  16.7 177.1   44840196.000
14/02/21 05:12   -42730256.000     4405997.500    12853573.000  16.7 174.1   44838624.000
