Date, Time (UTC), Azimuth (°), Elevation (°), Distance (km)
14/02/21,15:48,72.202008134,3.52145793709,44754461.1653
14/02/21,16:00,73.7950257448,5.91637098571,44752605.5315
14/02/21,16:12,75.3652676271,8.33055634263,44750752.9489
14/02/21,16:24,76.9178423915,10.7619774353,44748896.117
14/02/21,16:36,78.4579152292,13.2086807482,44747039.7571
14/02/21,16:48,79.9907838336,15.668817055,44745186.6983
14/02/21,17:00,81.5219316547,18.1405830609,44743333.7968
14/02/21,17:12,83.0571021421,20.6222203697,44741476.9077
14/02/21,17:24,84.6044330596,23.1152068501,44739634.7653
14/02/21,17:36,86.1665031805,25.6113689064,44737784.3635
14/02/21,17:48,87.7524974945,28.1121297106,44735949.0988
14/02/21,18:00,89.3703460043,30.6156259381,44734117.5759
14/02/21,18:12,91.0289451534,33.1199206025,44732288.0097
14/02/21,18:24,92.7383501473,35.6228839597,44730460.1789
14/02/21,18:36,94.5101371679,38.1222175749,44728650.3362
14/02/21,18:48,96.3601198964,40.6185387879,44726843.9072
14/02/21,19:00,98.2992673638,43.1024783358,44725043.9297
14/02/21,19:12,100.34851345,45.5738289511,44723256.6884
14/02/21,19:24,102.530117267,48.0285765082,44721477.2387
14/02/21,19:36,104.870915536,50.4618767965,44719703.7385
14/02/21,19:48,107.403568842,52.8678433528,44717946.3433
14/02/21,20:00,110.168041868,55.2391876849,44716196.2736
14/02/21,20:12,113.213444427,57.5667471124,44714459.6387
14/02/21,20:24,116.604916503,59.8417970877,44712733.8725
14/02/21,20:36,120.407903051,62.0434815231,44711018.7867
14/02/21,20:48,124.716415565,64.1554272041,44709313.9475
14/02/21,21:00,129.636419813,66.1524938772,44707626.1646
14/02/21,21:12,135.286443154,68.0021680968,44705950.6245
14/02/21,21:24,141.785645263,69.6630967897,44704284.2265
14/02/21,21:36,149.22758811,71.0845447868,44702635.1569
14/02/21,21:48,157.6460653,72.209439501,44701000.6521
14/02/21,22:00,166.912388612,72.9751691727,44699375.9977
14/02/21,22:12,176.759418882,73.33363534,44697768.311
14/02/21,22:24,186.762149677,73.2584978393,44696168.9466
14/02/21,22:36,196.451088924,72.7554732104,44694590.2851
14/02/21,22:48,205.444114956,71.8603836846,44693021.3078
14/02/21,23:00,213.524177726,70.6279431028,44691465.8242
14/02/21,23:12,220.635321182,69.1183743015,44689925.0918
14/02/21,23:24,226.838055306,67.3854696972,44688397.0154
14/02/21,23:36,232.222995184,65.4813117483,44686882.2761
14/02/21,23:48,236.919756609,63.4419798125,44685377.4906
14/02/22,00:00,241.043330673,61.2972673723,44683889.2127
14/02/22,00:12,244.694268878,59.0701428511,44682409.0581
14/02/22,00:24,247.956854271,56.7783061464,44680943.4338
14/02/22,00:36,250.900279572,54.4354660253,44679490.6962
14/02/22,00:48,253.584148657,52.0492465247,44678050.3956
14/02/22,01:00,256.04739215,49.6342227542,44676618.1136
14/02/22,01:12,258.330846085,47.1941367674,44675193.7651
14/02/22,01:24,260.465013367,44.7344750481,44673782.3728
